"Designator","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","MPN","Manufacturer","LCSC Part","Description"
"R3","1","33","","","","easyeda2kicad:R0402","https://jlc-prod-smt.oss-eu-central-1.aliyuncs.com/smtDataManualFile/8579706024414412800-C25105.pdf?response-content-disposition=attachment%3B%20filename%3DC25105.pdf%3B%20filename%2A%3DUTF-8%27%27C25105.pdf&x-oss-date=20260907T153244Z&x-oss-expires=3600&x-oss-security-token=CAISgAN1q6Ft5B2yfSjIr5nDEv7i2Ipv1KqKemjYtlANS7ZPu4vFlzz2IHhMdHJsAOodtv0%2FmmhT6PkclqRLcbhpcmfjV%2BZHzLB8qe4r9gcu557b16cNrbH4M4H6aXeirtuwDsz9SNTCALjPD3nPii50x5bjaDymRCbLGJaViJlhHLN1Ow6jdmhpCctxLAlvo9NgFxm3D%2Fu2NQPwiWf9FVdhvhEG6Vly8qOi2MaRmFy8yFTx0b0SvJ%2BjYMrmPctoN9JnSdC5mfdzau3a1TJ84gRD0a5wkaVA1zbDs5bfISEIuUzebreLqY03dV4mOvdqIcMe8qigz88fk%2FfIioH6xyxKOexoSCnFTOiiupCcQLPyao9jLu6iayqViY7QaIOTqQohZmkAMwVOasAsI3Ngh4zF97Qt0cVNkXO9gWfLI8DtuMleWppA1tHRLjvyAFpORa%2Bb5wchMHn6pr9EWOXuJZUIn3b%2FstWNupKq5ldctHSeoXq108CXVnU5PXYIp4k27qKWD5sagAEFqI7NarBlRzR9b2OARctJlozG%2F0Lm1V4CiT2J%2BToBm10u22Uo%2FQrJD6R6lMdnCMk9uW2e%2FlXjAyNQkgWi8W6h5Vv5EX%2Fxnx%2B%2F71xx4cCjnx2tiaJU4ZjiG28IWDcTV6mR2uQwJAbldE%2FwGUOfW89pQPLrApOatwd%2FYDYvMPginSAA&x-oss-signature-version=OSS4-HMAC-SHA256&x-oss-credential=STS.NZvYDV5UNchaxNiRPXG9cTNnu%2F20260907%2Feu-central-1%2Foss%2Faliyun_v4_request&x-oss-signature=335fb80fdd302a0e6e89467e8f4caefbd38dc85171020052fe0e88e86f29ccca","0402WGF330JTCE","UNI-ROYAL(Uniroyal Elec)","C25105","Resistor, small symbol"
"R4,R5","2","27","","","","easyeda2kicad:R0402","https://jlc-prod-smt.oss-eu-central-1.aliyuncs.com/smtDataManualFile/8586178044432158720-C25100.pdf?response-content-disposition=attachment%3B%20filename%3DC25100.pdf%3B%20filename%2A%3DUTF-8%27%27C25100.pdf&x-oss-date=20260907T153407Z&x-oss-expires=3600&x-oss-security-token=CAISgAN1q6Ft5B2yfSjIr5nDEv7i2Ipv1KqKemjYtlANS7ZPu4vFlzz2IHhMdHJsAOodtv0%2FmmhT6PkclqRLcbhpcmfjV%2BZHzLB8qe4r9gcu557b16cNrbH4M4H6aXeirtuwDsz9SNTCALjPD3nPii50x5bjaDymRCbLGJaViJlhHLN1Ow6jdmhpCctxLAlvo9NgFxm3D%2Fu2NQPwiWf9FVdhvhEG6Vly8qOi2MaRmFy8yFTx0b0SvJ%2BjYMrmPctoN9JnSdC5mfdzau3a1TJ84gRD0a5wkaVA1zbDs5bfISEIuUzebreLqY03dV4mOvdqIcMe8qigz88fk%2FfIioH6xyxKOexoSCnFTOiiupCcQLPyao9jLu6iayqViY7QaIOTqQohZmkAMwVOasAsI3Ngh4zF97Qt0cVNkXO9gWfLI8DtuMleWppA1tHRLjvyAFpORa%2Bb5wchMHn6pr9EWOXuJZUIn3b%2FstWNupKq5ldctHSeoXq108CXVnU5PXYIp4k27qKWD5sagAEFqI7NarBlRzR9b2OARctJlozG%2F0Lm1V4CiT2J%2BToBm10u22Uo%2FQrJD6R6lMdnCMk9uW2e%2FlXjAyNQkgWi8W6h5Vv5EX%2Fxnx%2B%2F71xx4cCjnx2tiaJU4ZjiG28IWDcTV6mR2uQwJAbldE%2FwGUOfW89pQPLrApOatwd%2FYDYvMPginSAA&x-oss-signature-version=OSS4-HMAC-SHA256&x-oss-credential=STS.NZvYDV5UNchaxNiRPXG9cTNnu%2F20260907%2Feu-central-1%2Foss%2Faliyun_v4_request&x-oss-signature=504d6a56ca5e365e74d8a4e7486c401e4543abf149ab7e91c1dbcb79b187f6cb","0402WGF270JTCE","UNI-ROYAL(Uniroyal Elec)","C25100","Resistor, small symbol"
"R6,R8,R9,R10","4","1k","","","","easyeda2kicad:R0402","https://jlc-prod-smt.oss-eu-central-1.aliyuncs.com/smtDataManualFile/8579705924159586304-C11702.pdf?response-content-disposition=attachment%3B%20filename%3DC11702.pdf%3B%20filename%2A%3DUTF-8%27%27C11702.pdf&x-oss-date=20260907T153527Z&x-oss-expires=3599&x-oss-security-token=CAISgAN1q6Ft5B2yfSjIr5nDEv7i2Ipv1KqKemjYtlANS7ZPu4vFlzz2IHhMdHJsAOodtv0%2FmmhT6PkclqRLcbhpcmfjV%2BZHzLB8qe4r9gcu557b16cNrbH4M4H6aXeirtuwDsz9SNTCALjPD3nPii50x5bjaDymRCbLGJaViJlhHLN1Ow6jdmhpCctxLAlvo9NgFxm3D%2Fu2NQPwiWf9FVdhvhEG6Vly8qOi2MaRmFy8yFTx0b0SvJ%2BjYMrmPctoN9JnSdC5mfdzau3a1TJ84gRD0a5wkaVA1zbDs5bfISEIuUzebreLqY03dV4mOvdqIcMe8qigz88fk%2FfIioH6xyxKOexoSCnFTOiiupCcQLPyao9jLu6iayqViY7QaIOTqQohZmkAMwVOasAsI3Ngh4zF97Qt0cVNkXO9gWfLI8DtuMleWppA1tHRLjvyAFpORa%2Bb5wchMHn6pr9EWOXuJZUIn3b%2FstWNupKq5ldctHSeoXq108CXVnU5PXYIp4k27qKWD5sagAEFqI7NarBlRzR9b2OARctJlozG%2F0Lm1V4CiT2J%2BToBm10u22Uo%2FQrJD6R6lMdnCMk9uW2e%2FlXjAyNQkgWi8W6h5Vv5EX%2Fxnx%2B%2F71xx4cCjnx2tiaJU4ZjiG28IWDcTV6mR2uQwJAbldE%2FwGUOfW89pQPLrApOatwd%2FYDYvMPginSAA&x-oss-signature-version=OSS4-HMAC-SHA256&x-oss-credential=STS.NZvYDV5UNchaxNiRPXG9cTNnu%2F20260907%2Feu-central-1%2Foss%2Faliyun_v4_request&x-oss-signature=4e29414784afe7d5fb3157838661f733a18f5589fee1660a1dfdba4b348ede4d","0402WGF1001TCE","UNI-ROYAL(Uniroyal Elec)","C11702","Resistor, small symbol"
"R11,R13,R15,R17","4","75","","","","easyeda2kicad:R0603","https://jlc-prod-smt.oss-eu-central-1.aliyuncs.com/smtDataManualFile/8579706081762992128-C4275.pdf?response-content-disposition=attachment%3B%20filename%3DC4275.pdf%3B%20filename%2A%3DUTF-8%27%27C4275.pdf&x-oss-date=20260907T153615Z&x-oss-expires=3600&x-oss-security-token=CAISgAN1q6Ft5B2yfSjIr5nDEv7i2Ipv1KqKemjYtlANS7ZPu4vFlzz2IHhMdHJsAOodtv0%2FmmhT6PkclqRLcbhpcmfjV%2BZHzLB8qe4r9gcu557b16cNrbH4M4H6aXeirtuwDsz9SNTCALjPD3nPii50x5bjaDymRCbLGJaViJlhHLN1Ow6jdmhpCctxLAlvo9NgFxm3D%2Fu2NQPwiWf9FVdhvhEG6Vly8qOi2MaRmFy8yFTx0b0SvJ%2BjYMrmPctoN9JnSdC5mfdzau3a1TJ84gRD0a5wkaVA1zbDs5bfISEIuUzebreLqY03dV4mOvdqIcMe8qigz88fk%2FfIioH6xyxKOexoSCnFTOiiupCcQLPyao9jLu6iayqViY7QaIOTqQohZmkAMwVOasAsI3Ngh4zF97Qt0cVNkXO9gWfLI8DtuMleWppA1tHRLjvyAFpORa%2Bb5wchMHn6pr9EWOXuJZUIn3b%2FstWNupKq5ldctHSeoXq108CXVnU5PXYIp4k27qKWD5sagAEFqI7NarBlRzR9b2OARctJlozG%2F0Lm1V4CiT2J%2BToBm10u22Uo%2FQrJD6R6lMdnCMk9uW2e%2FlXjAyNQkgWi8W6h5Vv5EX%2Fxnx%2B%2F71xx4cCjnx2tiaJU4ZjiG28IWDcTV6mR2uQwJAbldE%2FwGUOfW89pQPLrApOatwd%2FYDYvMPginSAA&x-oss-signature-version=OSS4-HMAC-SHA256&x-oss-credential=STS.NZvYDV5UNchaxNiRPXG9cTNnu%2F20260907%2Feu-central-1%2Foss%2Faliyun_v4_request&x-oss-signature=a833ed75db6b4caeb720becd32d6854e401ac3bec608b8adb406a72e61fb172c","0603WAF750JT5E","UNI-ROYAL(Uniroyal Elec)","C4275","Resistor, small symbol"
"R12,R14,R16,R18,R21","5","100k","","","","easyeda2kicad:R0402","https://jlc-prod-smt.oss-eu-central-1.aliyuncs.com/smtDataManualFile/8579705919460069376-C25741.pdf?response-content-disposition=attachment%3B%20filename%3DC25741.pdf%3B%20filename%2A%3DUTF-8%27%27C25741.pdf&x-oss-date=20260907T153730Z&x-oss-expires=3600&x-oss-security-token=CAISgAN1q6Ft5B2yfSjIr5nbc9DT1IZgjpivT1%2BIo1g9OtgdvZyfqTz2IHhMdHJsAOodtv0%2FmmhT6PkclqRLcbhpcmfjV%2BZHzLB8qd1XzAUu557b16cNrbH4M4H6aXeirtuwDsz9SNTCALjPD3nPii50x5bjaDymRCbLGJaViJlhHLN1Ow6jdmhpCctxLAlvo9NgFxm3D%2Fu2NQPwiWf9FVdhvhEG6Vly8qOi2MaRmFy8yFTx0b0SvJ%2BjYMrmPctoN9JnSdC5mfdzau3a1TJ84gRD0a5wkaVA1zbDs5bfISEIuUzebreLqY03dV4mOvdqIcMe8qigz88fk%2FfIioH6xyxKOexoSCnFTOiiupCcQLPyao9jLu6iayqViY7QaIOTqQohZmkAMwVOasAsI3Ngh4zF97Qt0cVNkXO9gWfLI8DtuMleWirrA8LJLjvyAFpORa%2Bb5wchMHn6pr9EWOXuJZUIn3b%2FstWNupKq5ldctHSeoXq108CXVnU5PXYIm6QbJ6KWD5sagAFxiMsIrZ4EOtrwOTiJLPKoNdkbF4TiZCzoKJAsT86QgZSnDXyP5ho0UBN7m0vaPoHQopbK9IcungjErAAI8K4w62ML3xTN%2BTr%2BUGGk9EIJiO8FHHtkYZsXCLQXJNZM2Jr4ryNsDaXsddaJiAZyH6UJEDuqogWCEjomy%2BHKN5Iy3CAA&x-oss-signature-version=OSS4-HMAC-SHA256&x-oss-credential=STS.NZn8jg9YA9ZDMy9GXh6W1RY4K%2F20260907%2Feu-central-1%2Foss%2Faliyun_v4_request&x-oss-signature=9653cf430557eadf73a9fd3e1828d3bd11133b465789facfa43d748dc12d1883","0402WGF1003TCE","UNI-ROYAL(Uniroyal Elec)","C25741","Resistor, small symbol"
"R19,R20","2","4.7k","","","","easyeda2kicad:R0402","https://jlc-prod-smt.oss-eu-central-1.aliyuncs.com/smtDataManualFile/8579705941362999296-C25900.pdf?response-content-disposition=attachment%3B%20filename%3DC25900.pdf%3B%20filename%2A%3DUTF-8%27%27C25900.pdf&x-oss-date=20260907T153808Z&x-oss-expires=3600&x-oss-security-token=CAISgAN1q6Ft5B2yfSjIr5nbc9DT1IZgjpivT1%2BIo1g9OtgdvZyfqTz2IHhMdHJsAOodtv0%2FmmhT6PkclqRLcbhpcmfjV%2BZHzLB8qd1XzAUu557b16cNrbH4M4H6aXeirtuwDsz9SNTCALjPD3nPii50x5bjaDymRCbLGJaViJlhHLN1Ow6jdmhpCctxLAlvo9NgFxm3D%2Fu2NQPwiWf9FVdhvhEG6Vly8qOi2MaRmFy8yFTx0b0SvJ%2BjYMrmPctoN9JnSdC5mfdzau3a1TJ84gRD0a5wkaVA1zbDs5bfISEIuUzebreLqY03dV4mOvdqIcMe8qigz88fk%2FfIioH6xyxKOexoSCnFTOiiupCcQLPyao9jLu6iayqViY7QaIOTqQohZmkAMwVOasAsI3Ngh4zF97Qt0cVNkXO9gWfLI8DtuMleWirrA8LJLjvyAFpORa%2Bb5wchMHn6pr9EWOXuJZUIn3b%2FstWNupKq5ldctHSeoXq108CXVnU5PXYIm6QbJ6KWD5sagAFxiMsIrZ4EOtrwOTiJLPKoNdkbF4TiZCzoKJAsT86QgZSnDXyP5ho0UBN7m0vaPoHQopbK9IcungjErAAI8K4w62ML3xTN%2BTr%2BUGGk9EIJiO8FHHtkYZsXCLQXJNZM2Jr4ryNsDaXsddaJiAZyH6UJEDuqogWCEjomy%2BHKN5Iy3CAA&x-oss-signature-version=OSS4-HMAC-SHA256&x-oss-credential=STS.NZn8jg9YA9ZDMy9GXh6W1RY4K%2F20260907%2Feu-central-1%2Foss%2Faliyun_v4_request&x-oss-signature=f80dc9cc633de8447e71cfe330592b0b315e3d1a6d4c3d32ea88a1a6ca065101","0402WGF4701TCE","UNI-ROYAL(Uniroyal Elec)","C25900","Resistor, small symbol"
"R22,R23","2","120","","","","easyeda2kicad:R0402","https://jlc-prod-smt.oss-eu-central-1.aliyuncs.com/smtDataManualFile/8579705960426246144-C25079.pdf?response-content-disposition=attachment%3B%20filename%3DC25079.pdf%3B%20filename%2A%3DUTF-8%27%27C25079.pdf&x-oss-date=20260907T153855Z&x-oss-expires=3600&x-oss-security-token=CAISgAN1q6Ft5B2yfSjIr5nbc9DT1IZgjpivT1%2BIo1g9OtgdvZyfqTz2IHhMdHJsAOodtv0%2FmmhT6PkclqRLcbhpcmfjV%2BZHzLB8qd1XzAUu557b16cNrbH4M4H6aXeirtuwDsz9SNTCALjPD3nPii50x5bjaDymRCbLGJaViJlhHLN1Ow6jdmhpCctxLAlvo9NgFxm3D%2Fu2NQPwiWf9FVdhvhEG6Vly8qOi2MaRmFy8yFTx0b0SvJ%2BjYMrmPctoN9JnSdC5mfdzau3a1TJ84gRD0a5wkaVA1zbDs5bfISEIuUzebreLqY03dV4mOvdqIcMe8qigz88fk%2FfIioH6xyxKOexoSCnFTOiiupCcQLPyao9jLu6iayqViY7QaIOTqQohZmkAMwVOasAsI3Ngh4zF97Qt0cVNkXO9gWfLI8DtuMleWirrA8LJLjvyAFpORa%2Bb5wchMHn6pr9EWOXuJZUIn3b%2FstWNupKq5ldctHSeoXq108CXVnU5PXYIm6QbJ6KWD5sagAFxiMsIrZ4EOtrwOTiJLPKoNdkbF4TiZCzoKJAsT86QgZSnDXyP5ho0UBN7m0vaPoHQopbK9IcungjErAAI8K4w62ML3xTN%2BTr%2BUGGk9EIJiO8FHHtkYZsXCLQXJNZM2Jr4ryNsDaXsddaJiAZyH6UJEDuqogWCEjomy%2BHKN5Iy3CAA&x-oss-signature-version=OSS4-HMAC-SHA256&x-oss-credential=STS.NZn8jg9YA9ZDMy9GXh6W1RY4K%2F20260907%2Feu-central-1%2Foss%2Faliyun_v4_request&x-oss-signature=748a8624a26fe64914c891016d65f1490794e712cc17dd54f80022557b40ac50","0402WGF1200TCE","UNI-ROYAL(Uniroyal Elec)","C25079","Resistor, small symbol"
"R24,R25","2","10k","","","","easyeda2kicad:R0402","https://jlc-prod-smt.oss-eu-central-1.aliyuncs.com/smtDataManualFile/8556212101494185984-C25744.pdf?response-content-disposition=attachment%3B%20filename%3DC25744.pdf%3B%20filename%2A%3DUTF-8%27%27C25744.pdf&x-oss-date=20260907T154002Z&x-oss-expires=3600&x-oss-security-token=CAISgAN1q6Ft5B2yfSjIr5nbc9DT1IZgjpivT1%2BIo1g9OtgdvZyfqTz2IHhMdHJsAOodtv0%2FmmhT6PkclqRLcbhpcmfjV%2BZHzLB8qd1XzAUu557b16cNrbH4M4H6aXeirtuwDsz9SNTCALjPD3nPii50x5bjaDymRCbLGJaViJlhHLN1Ow6jdmhpCctxLAlvo9NgFxm3D%2Fu2NQPwiWf9FVdhvhEG6Vly8qOi2MaRmFy8yFTx0b0SvJ%2BjYMrmPctoN9JnSdC5mfdzau3a1TJ84gRD0a5wkaVA1zbDs5bfISEIuUzebreLqY03dV4mOvdqIcMe8qigz88fk%2FfIioH6xyxKOexoSCnFTOiiupCcQLPyao9jLu6iayqViY7QaIOTqQohZmkAMwVOasAsI3Ngh4zF97Qt0cVNkXO9gWfLI8DtuMleWirrA8LJLjvyAFpORa%2Bb5wchMHn6pr9EWOXuJZUIn3b%2FstWNupKq5ldctHSeoXq108CXVnU5PXYIm6QbJ6KWD5sagAFxiMsIrZ4EOtrwOTiJLPKoNdkbF4TiZCzoKJAsT86QgZSnDXyP5ho0UBN7m0vaPoHQopbK9IcungjErAAI8K4w62ML3xTN%2BTr%2BUGGk9EIJiO8FHHtkYZsXCLQXJNZM2Jr4ryNsDaXsddaJiAZyH6UJEDuqogWCEjomy%2BHKN5Iy3CAA&x-oss-signature-version=OSS4-HMAC-SHA256&x-oss-credential=STS.NZn8jg9YA9ZDMy9GXh6W1RY4K%2F20260907%2Feu-central-1%2Foss%2Faliyun_v4_request&x-oss-signature=e91c8b4630644ca3b6363e710c8f1b816497633a7f9f8d38ceb356c37d31f795","0402WGF1002TCE","UNI-ROYAL(Uniroyal Elec)","C25744","Resistor, small symbol"
"R26","1","15k","","","","easyeda2kicad:R0402","https://jlc-prod-smt.oss-eu-central-1.aliyuncs.com/smtDataManualFile/8579705971406659584-C25756.pdf?response-content-disposition=attachment%3B%20filename%3DC25756.pdf%3B%20filename%2A%3DUTF-8%27%27C25756.pdf&x-oss-date=20260907T154040Z&x-oss-expires=3600&x-oss-security-token=CAISgAN1q6Ft5B2yfSjIr5nbc9DT1IZgjpivT1%2BIo1g9OtgdvZyfqTz2IHhMdHJsAOodtv0%2FmmhT6PkclqRLcbhpcmfjV%2BZHzLB8qd1XzAUu557b16cNrbH4M4H6aXeirtuwDsz9SNTCALjPD3nPii50x5bjaDymRCbLGJaViJlhHLN1Ow6jdmhpCctxLAlvo9NgFxm3D%2Fu2NQPwiWf9FVdhvhEG6Vly8qOi2MaRmFy8yFTx0b0SvJ%2BjYMrmPctoN9JnSdC5mfdzau3a1TJ84gRD0a5wkaVA1zbDs5bfISEIuUzebreLqY03dV4mOvdqIcMe8qigz88fk%2FfIioH6xyxKOexoSCnFTOiiupCcQLPyao9jLu6iayqViY7QaIOTqQohZmkAMwVOasAsI3Ngh4zF97Qt0cVNkXO9gWfLI8DtuMleWirrA8LJLjvyAFpORa%2Bb5wchMHn6pr9EWOXuJZUIn3b%2FstWNupKq5ldctHSeoXq108CXVnU5PXYIm6QbJ6KWD5sagAFxiMsIrZ4EOtrwOTiJLPKoNdkbF4TiZCzoKJAsT86QgZSnDXyP5ho0UBN7m0vaPoHQopbK9IcungjErAAI8K4w62ML3xTN%2BTr%2BUGGk9EIJiO8FHHtkYZsXCLQXJNZM2Jr4ryNsDaXsddaJiAZyH6UJEDuqogWCEjomy%2BHKN5Iy3CAA&x-oss-signature-version=OSS4-HMAC-SHA256&x-oss-credential=STS.NZn8jg9YA9ZDMy9GXh6W1RY4K%2F20260907%2Feu-central-1%2Foss%2Faliyun_v4_request&x-oss-signature=e2f1ecf3b579d9aa893576a5b93f36c547326cbfc5c53ccab21a11230f8d1ec1","0402WGF1502TCE","UNI-ROYAL(Uniroyal Elec)","C25756","Resistor, small symbol"
"SW1,SW2","2","BOOTSEL_BTN,RUN_BTN","","","","easyeda2kicad:SW-SMD_L3.9-W3.0-P4.45","https://lcsc.com/product-detail/Tactile-Switches_XUNPU-TS-1088-AR02016_C720477.html","TS-1088-AR02016","XUNPU(讯普)","C720477",""
"U1","1","RP2350A_C42411118","","","","easyeda2kicad:QFN-60_L7.0-W7.0-P0.40-TL-EP3.4","https://www.lcsc.com/datasheet/C42411118.pdf","RP2350A","Raspberry Pi(树莓派)","C42411118",""
"U2","1","AP7361C-33E-13","","","","easyeda2kicad:SOT-223_L6.5-W3.5-P2.30-LS7.0-BR","https://lcsc.com/product-detail/New-Arrivals_Diodes-Incorporated-AP7361C-33E-13_C500795.html","AP7361C-33E-13","DIODES(美台)","C500795",""
"U3","1","W25Q128JVSIQTR","","","","easyeda2kicad:SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL","https://lcsc.com/product-detail/FLASH_W25Q128JVSIQTR_C97521.html","W25Q128JVSIQ","Winbond(华邦)","C97521",""
"U4","1","ABM8-272-T3_C20625731","","","","easyeda2kicad:CRYSTAL-SMD_4P-L3.2-W2.5-BL","https://www.lcsc.com/datasheet/C20625731.pdf","ABM8-272-T3","ABRACON","C20625731",""
"U5","1","ICM-42688-P","","","","easyeda2kicad:LGA-14_L3.0-W2.5-P0.50-BL","https://www.lcsc.com/datasheet/C54308212.pdf","ICM-42688-P(TOKMAS)","Tokmas(托克马斯)","C54308212",""
"U6","1","DPS368XTSA1","","","","easyeda2kicad:LGA-8_L2.5-W2.0-P0.65-TR_DPS368","https://www.lcsc.com/datasheet/C55090144.pdf","DPS368XTSA1(TOKMAS)","Tokmas(托克马斯)","C55090144",""
"U7","1","BMM150","","","","easyeda2kicad:WLCSP-12_L1.6-W1.6_BMM150","https://lcsc.com/product-detail/Sensors_Bosch_BMM150_BMM150_C171681.html","BMM150","Bosch(博世)","C171681",""
"U8","1","ESP-01","DNP","Excluded from BOM","","easyeda2kicad:WIFIM-TH_8P-L24.7-W14.4-P2.54","https://lcsc.com/product-detail/WIFI-Modules_Ai-Thinker-ESP-01_C503581.html","ESP-01","Ai-Thinker(安信可)","C503581",""
"U9","1","AP22818BKWT-7","","","","easyeda2kicad:TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL","https://www.lcsc.com/datasheet/C5564097.pdf","AP22818BKWT-7","DIODES(美台)","C5564097",""
"USB1","1","TYPE-C 16PIN 2MD","","","","easyeda2kicad:USB-C-SMD_TYPE-C-16PIN-2MD-073","https://www.lcsc.com/datasheet/C2765186.pdf","TYPE-C 16PIN 2MD(073)","SHOU HAN(首韩)","C2765186",""
